Jay Harrison,harrija01,D,35,372,23,52,75,14.8
Mark Hartigan,hartima01,C,25,102,19,11,30,2.7
Darren Haydar,haydada01,RW,20,23,1,7,8,0.7
Kevin Hayes,hayeske01,RW,20,381,92,137,229,25.4
Dany Heatley,heatlda01,LW,190,869,372,419,791,95.2
Shawn Heins,heinssh01,D,17,125,4,12,16,3.8
Matt Hendricks,hendrma01,C,64,607,54,62,116,5.2
Chris Herperger,herpech01,C,27,169,18,25,43,2.7
Shane Hnidy,hnidysh01,D,138,550,16,55,71,16.7
Darcy Hordichuk,hordida01,LW,44,542,20,21,41,0.0
Quinton Howden,howdequ01,C,5,97,10,7,17,0.8
Tony Hrkac,hrkacto01,C,160,758,132,239,371,25.7
Jason Jaffray,jaffrja01,LW,13,49,4,7,11,0.8
Matt Johnson,johnsma03,LW,64,473,23,20,43,-2.0
Olli Jokinen,jokinol01,C,127,1231,321,429,750,71.7
Randy Jones,jonesra01,D,39,365,20,85,105,18.5
Chris Joseph,josepch01,D,19,510,39,112,151,21.8
Tomi Kallio,kallito01,LW,121,140,24,31,55,3.9
Niko Kapanen,kapanni01,C,60,397,36,90,126,7.1
Andreas Karlsson,karlsan01,C,153,264,16,35,51,0.5
Geordie Kinnear,kinnege01,D,4,4,0,0,0,0.0
Ken Klee,kleeke01,D,72,934,55,140,195,33.9
Carl Klingberg,klingca01,LW,12,12,1,0,1,0.1
Tomas Kloucek,kloucto01,D,38,141,2,8,10,1.2
Ladislav Kohn,kohnla01,RW,26,186,14,28,42,0.4
Scott Kosmachuk,kosmasc01,RW,8,8,0,3,3,0.2
Jason Krog,krogja01,C,14,202,22,37,59,5.1
Uwe Krupp,kruppuw01,D,4,729,69,212,281,54.7
Pavel Kubina,kubinpa01,D,76,970,110,276,386,64.1
Arturs Kulda ,kuldaar01,D,15,15,0,2,2,0.6
Dmitry Kulikov,kulikdm01,D,119,626,33,127,160,28.7
Chris Kunitz,kunitch01,LW,2,1022,268,351,619,74.0
Joel Kwiatkowski,kwiatjo01,D,18,282,16,29,45,8.2
Denny Lambert,lambede01,LW,140,487,27,66,93,2.0
Scott Lehman,lehmasc01,D,1,1,0,0,0,0.0
Brendan Lemieux,lemiebr01,LW,53,72,13,5,18,2.3
Francis Lessard,lessafr01,RW,91,115,1,3,4,-0.2
Grant Lewis,lewisgr01,D,1,1,0,0,0,0.0
Par Lindholm,lindhpa01,C,4,65,1,12,13,0.2
Bill Lindsay,lindsbi01,RW,24,777,83,141,224,11.3
J.C. Lipon,liponj.01,RW,9,9,0,1,1,0.0
Clarke MacArthur,macarcl01,LW,21,552,133,171,304,32.3
Spencer Machacek,machasp01,RW,25,25,2,7,9,1.1
Derek MacKenzie,mackede01,C,28,611,51,74,125,7.6
Brett Maclean,maclebr02,LW,5,18,2,3,5,0.5
