Alexandre Giroux,giroual01,C/LW,9,48,6,6,12,0.8
Curtis Glencross,glenccu01,C,43,507,134,141,275,31.8
Steven Goertzen,goertst01,RW,46,68,2,2,4,-1.2
Cody Goloubef,golouco01,D,96,134,2,21,23,4.4
Chris Gratton,grattch01,C,6,1092,214,354,568,46.5
Nate Guenin,guenina01,D,3,205,5,23,28,6.7
Markus Hannikainen,hannima01,LW,91,91,8,7,15,0.7
Brett Harkins,harkibr01,LW,25,78,6,30,36,2.0
Scott Harrington,harrisc01,D,127,152,5,21,26,4.9
Mark Hartigan,hartima01,C,48,102,19,11,30,2.7
Steve Heinze,heinzst01,RW,65,694,178,158,336,31.9
Jamie Heward,hewarja01,D,97,394,38,86,124,18.3
Nick Holden,holdeni01,D,7,435,39,88,127,26.1
Brian Holzinger,holzibr01,C,13,547,93,145,238,16.7
Nathan Horton,hortona01,RW,36,627,203,218,421,49.5
Jan Hrdina,hrdinja01,C,75,513,101,196,297,26.1
Cale Hulse,hulseca01,D,27,619,16,79,95,21.3
Kristian Huselius,huselkr01,LW,189,662,190,261,451,48.3
Hannes Hyvonen,hyvonha01,RW,36,42,4,5,9,0.2
Tim Jackman,jackmti01,RW,19,483,32,43,75,1.4
Aaron Johnson,johnsaa01,D,172,291,17,45,62,13.3
Jussi Jokinen,jokinju01,C,14,951,191,372,563,57.2
Andrew Joudrey,joudran01,C,1,1,0,0,0,0.0
Milan Jurcina,jurcimi01,D,17,430,22,59,81,14.3
Tomi Kallio,kallito01,LW,12,140,24,31,55,3.9
Tomas Kana,kanato01,C,6,6,0,2,2,0.2
William Karlsson,karlswi01,C,165,347,85,99,184,20.9
Espen Knutsen,knutses01,C,188,207,30,81,111,7.4
Chad Kolarik,kolarch01,C,2,6,0,1,1,-0.1
Zenith Komarniski,komarze01,D,2,21,1,1,2,0.5
Zenon Konopka,konopze01,C,9,346,12,18,30,-2.6
Lauri Korpikoski,korpila01,LW,9,609,86,115,201,14.8
Robert Kron,kronro01,LW,118,771,144,194,338,23.2
Tomas Kubalik,kubalto01,RW,12,12,1,3,4,0.0
Frantisek Kucera,kucerfr01,D,48,465,24,95,119,27.9
Dean Kukan,kukande01,D,44,44,0,9,9,2.8
Scott Lachance,lachasc01,D,138,819,31,112,143,30.8
Brett Lebda,lebdabr01,D,30,397,20,56,76,17.0
Jordan Leopold,leopojo01,D,18,695,67,147,214,43.5
Sami Lepisto,lepissa01,D,19,176,6,29,35,8.9
Trevor Letowski,letowtr01,RW,154,616,84,117,201,14.5
Joakim Lindstrom,lindsjo01,C,37,150,19,24,43,2.4
David Ling,lingda01,RW,90,93,4,4,8,-0.2
Craig MacDonald,macdocr01,LW,8,233,11,24,35,0.5
Don MacLean,macledo01,C,4,41,8,5,13,0.9
Steve Maltais,maltast01,LW,26,120,9,18,27,-0.8
Mike Maneluk,manelmi01,LW,39,85,11,10,21,1.5
Paul Manning,mannipa01,D,8,8,0,0,0,0.1
Todd Marchant,marchto01,C,95,1195,186,312,498,36.2
Jon Marchessault,audymjo01,C,2,283,90,114,204,23.9
