Russ Adam,adamru01,C,8,8,1,2,3,0.0
Jack Adams*,adamsja01,C,133,173,81,44,125,20.9
Kevyn Adams,adamske01,C,58,540,59,77,136,7.6
Stew Adams,adamsst01,LW,8,93,9,26,35,2.5
Gary Aldcorn,aldcoga01,LW,86,226,41,56,97,6.0
Claire Alexander,alexacl01,D,123,155,18,47,65,10.7
Jason Allison,allisja02,C,66,552,154,331,485,49.5
Mike Allison,allismi01,LW,86,499,102,166,268,13.5
Lloyd Andrews,andrell01,LW,54,54,8,5,13,-0.5
Greg Andrusak,andrugr01,D,9,28,0,6,6,1.1
Al Arbour*,arboual01,D,66,626,12,58,70,39.3
Amos Arbour,arbouam01,LW,21,114,52,17,69,5.4
Jack Arbour,arbouja01,D,10,47,5,1,6,3.6
Mark Arcobello,arcobma01,RW,20,139,24,29,53,4.8
Colby Armstrong,armstco01,RW,79,476,89,120,209,18.3
Murray Armstrong,armstmu01,C,12,270,67,121,188,14.0
Norm Armstrong,armstno01,RW/D,7,7,1,1,2,0.7
Tim Armstrong,armstti01,C,11,11,1,0,1,-0.2
John Arundel,arundjo01,D,3,3,0,0,0,0.1
Don Ashby,ashbydo01,C,141,188,40,56,96,4.7
Carter Ashton,ashtoca01,RW,54,54,0,3,3,-0.9
Norm Aubin,aubinno01,C,69,69,18,13,31,0.9
Patrik Augusta,auguspa01,RW,2,4,0,0,0,-0.1
Keith Aulie,aulieke01,D,57,167,4,10,14,2.6
Pete Backor,backope01,D,36,36,4,5,9,3.2
Bob Bailey,bailebo01,RW,86,149,15,21,36,1.2
Casey Bailey,baileca01,RW,6,13,1,0,1,0.1
Reid Bailey,bailere01,D,1,40,1,3,4,1.5
Jamie Baker,bakerja01,C,71,404,71,79,150,7.3
Doug Baldwin,baldwdo01,D,15,24,0,1,1,0.8
Earl Balfour,balfoea01,LW,80,288,30,22,52,0.0
Andy Barbe,barbean01,RW,1,1,0,0,0,0.0
Andy Bathgate*,bathgan01,RW,70,1069,349,624,973,91.8
Bates Battaglia,battaba01,LW,95,580,80,118,198,14.3
Francois Beauchemin,beaucfr01,D,136,903,76,212,288,60.2
Alain Belanger,belanal01,RW,9,9,0,1,1,-0.2
Ken Belanger,belanke01,LW,3,248,11,12,23,-0.2
Brendan Bell,bellbr02,D,32,102,7,21,28,3.9
Mark Bell,bellma01,C,35,450,87,95,182,15.5
Pete Bellefeuille,bellepe01,RW,49,92,26,6,32,5.2
Bryan Berard,berarbr01,D,102,619,76,247,323,45.4
Drake Berehowsky,berehdr01,D,133,549,37,112,149,29.2
Craig Berube,berubcr01,LW,40,1054,61,98,159,-4.5
Frank Bialowas,bialofr01,LW,3,3,0,0,0,0.1
Jack Bionda,biondja01,D,13,93,3,9,12,5.7
Chuck Blair,blairch01,RW,1,1,0,0,0,0.0
Dusty Blair,blairdu01,C,2,2,0,0,0,0.0
Mike Blaisdell,blaismi01,RW,27,343,70,84,154,6.2
Mickey Blake,blakemi01,LW/D,8,17,1,1,2,1.0
Troy Bodie,bodietr01,RW,52,159,9,12,21,0.5
Gus Bodnar,bodnagu01,C,187,667,142,255,397,28.2
Lonny Bohonos,bohonlo01,RW,13,83,19,16,35,2.6
Fred Boimistruck,boimifr01,D,83,83,4,14,18,4.1
Serge Boisvert,boisvse01,RW,17,46,5,7,12,-0.2
Leo Boivin*,boivile01,D,137,1150,72,250,322,69.6
Dave Bolland,bollada01,C,23,433,85,123,208,20.3
David Booth,boothda01,LW,59,530,124,112,236,24.5
George Boothman,boothge01,C/D,58,58,17,19,36,2.9
Andreas Borgman,borgman01,D,48,48,3,8,11,2.2
Nikolai Borschevsky,borscni01,RW,142,162,49,73,122,10.9
Laurie Boschman,boschla01,C,187,1009,229,348,577,28.1
Bruce Boudreau,boudrbr01,C,134,141,28,42,70,3.5
Leo Bourgeault,bourgle01,D,22,307,25,20,45,24.9
Darryl Boyce,boyceda01,C,64,84,6,12,18,1.1
Wally Boyer,boyerwa01,C,46,365,54,105,159,9.6
Brad Boyes,boyesbr01,RW,60,822,211,294,505,53.8
Brian Boyle,boylebr01,C,21,766,124,92,216,19.2
Brian Bradley,bradlbr01,C,85,651,182,321,503,39.0
T.J. Brennan,brenntj01,D,13,53,5,8,13,1.1
John Brenneman,brennjo01,LW,41,152,21,19,40,0.8
Tim Brent,brentti01,C,80,207,21,27,48,3.1
Eric Brewer,breweer01,D,18,1009,77,194,271,48.7
Doug Brindley,brinddo01,LW/C,3,3,0,0,0,-0.1
Greg Britz,britzgr01,RW,7,8,0,0,0,-0.2
David Broll,brollda01,LW,5,5,0,1,1,0.1
Willie Brossart,brosswi01,D,21,129,1,14,15,1.5
Aaron Broten,broteaa01,LW/C,27,748,186,329,515,30.9
Arnie Brown,brownar01,D,6,681,44,141,185,41.2
Jeff Brown,brownje02,D,19,747,154,430,584,78.3
Mike Brown,brownmi02,RW,112,407,19,17,36,-1.5
Jeff Brubaker,brubaje01,LW,89,178,16,9,25,-2.2
Bill Brydge,brydgbi01,D,41,368,26,52,78,29.5
Gord Brydson,brydsgo01,C/RW,8,8,2,0,2,0.2
Al Buchanan,buchaal01,LW,4,4,0,1,1,0.0
Mike Bullard,bullami01,C,65,727,329,345,674,50.7
Bill Burega,buregbi01,D,4,4,0,1,1,0.3
Dave Burrows,burroda01,D,151,724,29,135,164,32.5
Garth Butcher,butchga01,D,45,897,48,158,206,42.3
Mike Byers,byersmi01,RW,15,166,42,34,76,5.1
Jack Caffery,caffeja01,C,3,57,3,2,5,-0.8
Larry Cahan,cahanla01,D,79,671,38,92,130,32.0
Francis Cain,cainfr01,D,23,61,4,1,5,0.3
Harry Cameron*,camerha01,D,106,129,88,54,142,28.8
Andrew Campbell,campban01,D,6,42,0,2,2,0.0
Jack Capuano,capuaja01,D,1,6,0,0,0,0.1
Luca Caputi,caputlu01,LW,26,35,3,6,9,0.3
George Carey,careyge01,RW,4,72,21,12,33,-0.2
Wayne Carleton,carlewa01,LW,91,278,55,73,128,7.7
Randy Carlyle,carlyra01,D,94,1055,148,499,647,83.0
Red Carr,carrre01,LW,5,5,0,1,1,-0.1
Connor Carrick,carrico01,D,130,201,11,30,41,7.0
Sam Carrick,carrisa01,C,19,25,1,2,3,0.0
Larry Carriere,carrila01,D,2,366,16,74,90,22.5
Bill Carson,carsobi01,C,95,159,54,27,81,19.9
Ray Ceresino,ceresra01,RW,12,12,1,1,2,-0.1
Murph Chamberlain,chambmu01,LW,131,510,100,175,275,19.9
Andre Champagne,champan01,LW,2,2,0,0,0,-0.1
Kelly Chase,chaseke01,RW,2,458,17,36,53,-4.5
Lex Chisholm,chishle01,C/RW,61,61,10,8,18,1.5
Jack Church,churcja01,D,86,142,4,19,23,10.1
Rob Cimetta,cimetro01,W,49,103,16,16,32,1.3
Terry Clancy,clancte01,RW,86,93,6,6,12,-1.5
David Clarkson,clarkda03,RW,118,570,114,86,200,19.6
Sprague Cleghorn*,cleghsp01,D,13,259,83,60,143,47.7
Rich Clune,cluneri01,LW,19,139,7,15,22,1.1
Carlo Colaiacovo,colaica01,D,111,470,34,123,157,28.4
Joe Colborne,colbojo01,C,16,295,42,72,114,8.9
Brian Conacher,conacbr01,LW,133,155,28,28,56,3.3
Pete Conacher,conacpe01,LW,5,229,47,39,86,6.5
Tim Connolly,connoti01,C,70,697,131,300,431,36.7
Brandon Convery,convebr01,C,50,72,9,19,28,1.5
David Cooper,coopeda01,D,30,30,3,7,10,1.9
Bobby Copp,coppbo01,D,30,30,3,9,12,3.1
Bert Corbeau,corbebe01,D,131,258,63,48,111,29.9
Frank Corrado,corrafr01,D,41,76,3,5,8,0.3
Chuck Corrigan,corrich01,RW,3,18,2,2,4,-0.2
Les Costello,costele01,LW,15,15,2,3,5,0.2
Rich Costello,costeri01,C,12,12,2,2,4,0.0
Charlie Cotch,cotchch01,LW,5,12,1,0,1,-0.3
Sylvain Cote,cotesy01,D,94,1171,122,313,435,86.6
Jack Coughlin,coughja01,RW,6,20,2,0,2,-1.0
Danny Cox,coxda01,LW,114,319,48,50,98,11.0
Joey Crabb,crabbjo01,RW,115,179,20,33,53,3.7
Mike Craig,craigmi01,RW,172,423,71,97,168,6.6
John Craighead,craigjo01,RW,5,5,0,0,0,-0.1
Rusty Crawford*,crawfru01,LW,25,38,10,8,18,0.1
Dave Creighton,creigda01,C,62,616,140,174,314,27.9
Cory Cross,crossco01,D,162,659,34,97,131,32.7
Joe Crozier,crozijo01,D,5,5,0,3,3,0.5
Barry Cullen,culleba01,RW,164,218,32,52,84,4.6
John Cullen,cullejo01,C,100,621,187,363,550,39.2
Brian Curran,currabr01,D,130,381,7,33,40,13.2
Mariusz Czerkawski,czerkma01,RW,19,745,215,220,435,45.7
Jerry D'Amigo,damigje01,RW,22,31,1,2,3,-0.2
Kevin Dahl,dahlke01,D,3,188,7,22,29,8.4
Marty Dallman,dallmma01,C,6,6,0,1,1,-0.1
Harold Darragh,darraha01,LW,67,307,68,49,117,18.9
Kim Davis,daviski01,C,2,36,5,7,12,0.1
Bob Dawes,dawesbo01,D/C,17,32,2,7,9,2.6
Lucien DeBlois,deblolu01,C,92,993,249,276,525,27.5
Dale DeGray,degrada01,D,56,153,18,47,65,8.7
Ab DeMarco,demarab01,C,4,210,72,95,167,12.3
Nathan Dempsey,dempsna01,D,48,260,21,67,88,15.2
Corb Denneny,denneco01,C,135,176,102,42,144,15.8
Gerry Denoird,denoige01,C,1,1,0,0,0,0.1
Travis Dermott,dermotr01,D,101,101,5,25,30,5.1
Jamie Devane,devanja01,LW,2,2,0,0,0,-0.1
Andre Deveaux,deveaan01,C,22,31,0,2,2,-0.2
Boyd Devereaux,deverbo01,C,118,627,67,112,179,12.5
Ernie Dickens,dickeer01,D,25,278,12,44,56,9.7
Gerald Diduck,diducge01,D,26,932,56,156,212,51.7
Paul DiPietro,dipiepa01,C,32,192,31,49,80,4.3
Ken Doraty,doratke01,F,83,103,15,26,41,3.3
Dave Downie,downida01,C/RW,11,11,0,0,0,-0.2
Bruce Draper,drapebr01,C,1,1,0,0,0,0.0
Harold Druken,drukeha01,C,14,146,27,36,63,7.2
Art Duncan,duncaar01,D,122,156,18,16,34,17.4
Rocky Dundas,dundaro01,RW,5,5,0,0,0,-0.2
Frank Dunlap,dunlafr01,W,5,5,0,1,1,-0.1
Dave Dunn,dunnda01,D,115,184,14,41,55,9.2
Denis Dupéré,duperde01,LW,192,421,80,99,179,9.8
Jerome Dupont,duponje01,D,13,214,7,29,36,6.7
Philippe Dupuis,dupuiph01,C,30,116,6,12,18,0.3
Vitezslav Duris,durisvi01,D,89,89,3,20,23,5.0
Babe Dye*,dyeba01,RW,177,272,203,50,253,46.6
Dallas Eakins,eakinda01,D,18,120,0,9,9,4.1
Robbie Earl,earlro01,LW,9,47,6,1,7,0.5
Mike Eastwood,eastwmi01,C,111,783,87,149,236,11.6
Tim Ecclestone,eccleti01,LW,51,692,126,233,359,23.6
Garry Edmundson,edmunga01,LW,42,43,4,6,10,0.1
Gerry Ehman,ehmange01,RW,125,429,96,118,214,15.1
Tyler Ennis,ennisty01,C,51,543,117,159,276,26.6
Anders Eriksson,eriksan01,D,38,572,22,154,176,36.6
Tim Erixon,erixoti01,D,15,93,2,12,14,2.9
Len Esau,esaule01,D,2,27,0,10,10,0.8
Chris Evans,evansch01,D,2,241,19,42,61,8.7
Daryl Evans,evansda01,LW,2,113,22,30,52,1.8
Paul Evans,evanspa01,C/LW,11,11,1,1,2,0.0
Garnet Exelby,exelbga01,D,51,408,7,43,50,8.4
Kelly Fairchild,faircke01,C,23,34,2,3,5,-0.1
Jeff Farkas,farkaje01,RW,8,11,0,2,2,-0.1
Alex Faulkner,faulkal01,C,1,101,15,17,32,1.3
Ted Fauss,fausste01,D,28,28,0,2,2,1.3
Eric Fehr,fehrer01,RW,5,652,113,108,221,23.9
Paul Fenton,fentopa01,LW,30,411,100,83,183,8.9
Jeff Finger,fingeje01,D,105,199,17,40,57,10.7
Frank Finnigan,finnifr01,RW,154,554,116,94,210,30.8
Alvin Fisher,fisheal01,RW,9,9,1,0,1,-0.2
Tom Fitzgerald,fitzgto01,RW,135,1097,139,190,329,15.3
Bill Flett,flettbi01,RW,77,689,202,215,417,32.7
Gerry Foley,foleyge01,RW,4,142,9,14,23,-1.5
Mike Foligno,foligmi01,RW,129,1018,355,372,727,56.2
Jack Forsey,forseja01,RW,19,19,7,9,16,1.2
Dave Fortier,fortida01,D,23,205,8,21,29,10.8
Alex Foster,fosteal01,C,3,3,0,0,0,0.0
Jimmy Fowler,fowleji01,D,135,135,18,29,47,14.9
Lou Franceschetti,franclo01,RW,96,459,59,81,140,2.0
Ron Francis*,francro01,C,12,1731,549,1249,1798,149.3
Mark Fraser,frasema01,D,64,219,4,18,22,7.1
Matt Frattin,frattma01,RW,91,135,17,18,35,2.8
Byron Froese,froesby01,C,58,110,5,11,16,-0.4
Jonas Frogren,frogrjo01,D,41,41,1,6,7,1.1
Paul Gagne,gagnepa01,LW,16,390,110,101,211,10.8
Dave Gagner,gagneda01,C,28,946,318,401,719,60.9
Simon Gamache,gamacsi01,C,11,48,6,7,13,0.7
Dick Gamble,gambldi01,LW,3,195,41,41,82,7.8
Paul Gardner,gardnpa01,C,56,447,201,201,402,31.0
Ray Gariepy,gariera01,D,1,36,1,6,7,2.0
Scott Garland,garlasc01,C,85,91,13,24,37,0.9
Mike Gartner*,gartnmi01,RW,130,1432,708,627,1335,121.8
Frederik Gauthier,gauthfr01,C,107,107,6,13,19,0.6
Aaron Gavey,gaveyaa01,C,5,360,41,50,91,4.0
John Gibson,gibsojo01,D,27,48,0,2,2,0.7
Hal Gill,gillha01,D,145,1108,36,148,184,48.0
Gaston Gingras,gingrga01,D,109,476,61,174,235,36.7
Kenny Girard,girarke01,RW,7,7,0,1,1,-0.1
Tim Gleason,gleasti01,D,39,727,17,125,142,26.7
Ernie Godden,goddeer01,C,5,5,1,1,2,0.1
Alexander Godynyuk,godynal01,D,49,223,10,39,49,11.5
Bob Goldham,goldhbo01,D,79,650,28,143,171,51.8
Hank Goldup,golduha01,LW,100,202,63,80,143,11.1
Ed Gorman,gormaed01,D,19,111,14,6,20,10.0
Chris Govedaris,govedch01,LW,12,45,4,6,10,0.0
Michael Grabner,grabnmi01,RW,80,594,167,98,265,33.8
Bob Gracie,gracibo01,C/LW,104,380,82,110,192,20.5
Pat Graham,grahapa01,LW,41,103,11,17,28,-0.4
Petter Granberg,granbpe01,D,8,45,0,2,2,0.9
Alex Gray,grayal01,RW,7,50,7,1,8,0.7
Travis Green,greentr01,C,181,970,193,262,455,36.1
Colin Greening,greenco01,C/LW,30,286,45,57,102,8.2
Mark Greig,greigma01,RW,13,125,13,27,40,1.6
Seth Griffith,griffse01,C,3,79,8,11,19,1.2
John Grisdale,grisdjo01,D,51,250,4,39,43,10.1
Lloyd Gross,grossll01,LW,6,52,11,4,15,1.8
Per Gustafsson,gustape02,D,22,89,8,27,35,7.9
Sean Haggerty,haggese01,LW,1,14,1,2,3,0.2
Niklas Hagman,hagmani01,LW,120,770,147,154,301,27.7
Ron Hainsey,hainsro01,D,161,1068,58,241,299,57.1
Harold Halderson,haldeha01,D,26,44,3,2,5,3.0
Bob Halkidis,halkibo01,D,46,256,8,32,40,10.3
Herb Hamel,hamelhe01,RW,2,2,0,0,0,-0.1
Jack Hamilton,hamilja01,C,102,102,28,32,60,3.4
Jeff Hamilton,hamilje01,C,15,157,32,45,77,7.6
Ryan Hamilton,hamilry01,LW,12,30,1,4,5,-0.4
Ken Hammond,hammoke01,D,14,193,18,29,47,6.1
Ted Hampson,hampste01,C,41,677,108,245,353,20.9
Dave Hannan,hannada01,C,148,841,114,191,305,9.3
Gord Hannigan,hannigo01,C,161,161,29,31,60,5.6
Pat Hannigan,hannipa01,LW,1,182,30,39,69,3.6
Ray Hannigan,hannira01,RW,3,3,0,0,0,-0.1
Christian Hanson,hansoch01,C,42,42,3,6,9,0.1
David Harlock,harloda01,D,8,212,2,14,16,1.8
Scott Harrington,harrisc01,D,15,152,5,21,26,4.9
Billy Harris,harribi02,RW,146,897,231,327,558,36.5
Duke Harris,harridu01,RW,4,26,1,4,5,-0.6
Jay Harrison,harrija01,D,20,372,23,52,75,14.8
Jim Harrison,harriji01,C,175,324,67,86,153,9.2
Bob Hassard,hassabo01,C,109,126,9,28,37,1.6
Todd Hawkins,hawkito01,W,2,10,0,0,0,-0.3
Paul Healey,healepa01,LW,65,77,6,14,20,1.8
Pierre Hedin,hedinpi01,D,3,3,0,1,1,0.1
Frank Heffernan,heffefr01,D,19,19,0,1,1,-0.8
Jimmy Herbert,herbeji01,C/RW,31,206,83,34,117,28.0
Red Heron,heronre01,C,83,106,21,19,40,3.6
Jamie Heward,hewarja01,D,25,394,38,86,124,18.3
Pat Hickey,hickepa01,LW,118,644,192,212,404,25.8
Paul Higgins,higgipa01,RW,26,26,0,0,0,-0.8
Mel Hill,hillme01,RW,146,324,89,108,197,16.2
