Sean Brown,brownse01,D,74,436,14,43,57,11.7
Murray Brumwell,brumwmu01,D,106,128,12,31,43,7.6
Damien Brunner,brunnda01,RW,77,121,25,33,58,5.9
Doug Buhr,buhrdo01,LW,6,6,0,2,2,0.0
Glen Burdon,burdogl01,C,11,11,0,2,2,-0.1
Robin Burns,burnsro01,LW,149,190,31,38,69,1.1
Will Butcher,butchwi01,D,159,159,9,65,74,10.7
Bobby Butler,butlebo01,RW,14,130,20,29,49,4.3
Don Cairns,cairndo01,LW,9,9,0,1,1,-0.1
Dave Cameron,camerda01,C,168,168,25,28,53,1.0
Mike Cammalleri,cammami01,C/W,171,906,294,348,642,72.3
Colin Campbell,campbco01,D,54,636,25,103,128,27.8
Anders Carlsson,carlsan01,C,104,104,7,26,33,-0.1
Connor Carrick,carrico01,D,20,201,11,30,41,7.0
Ryan Carter,cartery01,LW,171,473,41,52,93,6.1
Shawn Chambers,chambsh01,D,158,625,50,185,235,47.8
Guy Charron,charrgu01,C,129,734,221,309,530,36.7
Rich Chernomaz,chernri01,RW,37,51,9,7,16,-0.1
Jeff Christian,chrisje01,LW,2,18,2,2,4,-0.1
Mike Christie,chrismi01,D,178,412,15,101,116,21.9
Chris Cichocki,cichoch01,RW,7,68,11,12,23,0.5
Zdeno Ciger,cigerzd01,LW,92,352,94,134,228,16.8
Noah Clarke,clarkno02,LW,1,21,3,1,4,0.2
Ryane Clowe,clowery01,LW,56,491,112,197,309,32.1
Gary Coalter,coaltga01,RW,30,34,2,4,6,-0.4
Danton Cole,coleda01,C/RW,12,318,58,60,118,6.6
Blake Coleman,colembl01,C,180,180,36,27,63,5.4
Rey Comeau,comeare01,C,92,564,98,141,239,12.8
Mike Commodore,commomi01,D,57,484,23,83,106,20.3
Pat Conacher,conacpa01,LW,193,521,63,76,139,0.4
Joe Contini,contijo01,C,67,68,17,21,38,2.3
Ed Cooper,coopeed01,LW,49,49,8,7,15,0.4
Bob Corkum,corkubo01,C,17,720,97,103,200,6.3
Matthew Corrente,correma01,D,34,34,0,6,6,0.9
Bart Crashley,crashba01,D,27,140,7,36,43,6.9
Bobby Crawford,crawfbo02,RW,15,16,1,3,4,0.1
Troy Crowder,crowdtr01,RW,69,150,9,7,16,-2.5
Matt D'Agostini,dagosma01,RW,13,324,52,55,107,9.4
Pierre Dagenais,dagenpi01,RW,25,142,35,23,58,7.3
Scott Daniels,daniesc01,LW,27,149,8,12,20,-1.3
Mike Danton,dantomi01,C,19,87,9,5,14,0.8
